,Unnamed: 0,Unnamed: 0.1,username,content,total words per comment,frequency of large words per comment,Simpson,Sichel,Average sentence length per comment,Frequency of used punctuation per comment,Frequency of repeated occurrence of whitespace per comment,Number of grammar mistakes per comment,Uppercase word usage per comment,Ease reading for the content,Gunning Fog value for the content,Label
673,673,673,deep_franz,"""3. In letzter Zeit bemerke ich, dass irgendwie für eine Militarisierung getrommelt wird. Wofür genau? Wogegen genau? Und wer hat das veranlasst? Ist natürlich eine sehr einträgliche Sache für gewisse Interessengruppen. Abwarten und beobachten."" Das ist genau die richtige Frage. Herr Ladurner redet nun wieder von Verteidigung, was in meinen Augen bedeutet, wir sichern Europa militärisch. Die ""Sprache der Macht"" von der Frau Kramp-Karrenbauer faselt und Herrn Macrons ""Visionen"" scheinen aber eher in Richtung Europäische Armee für Einsätze außerhalb Europas zu sprechen. Was wahrscheinlich am Ende passiert ist, daß man Verteidigung sagt, wofür es eine Zustimmung gibt und Einsätze auf fremden Kontinenten meint, wofür man beim Wahlvolk schwer eine Mehrheit bekäme. Erst konkret werden und dann zur Wahl stellen oder nicht mehr von Demokratie schwurbeln.",73,12,0.06748001559041339,0.013409961685823757,173.33333333333337,16,0,2,20,38.7,21.77,27
674,674,674,deep_franz,"""40 Prozent der Befragten sagten, ihre Lebensqualität habe sich in den vergangenen fünf Jahren verbessert"" So gehts mir auch, allerdings hat sie sich in den 10 Jahren zuvor verschlechtert, wobei man Lebensqualität natürlich nicht nur am Einkommen messen kann. Was das angeht, werde ich allerdings das Niveau der 90er wohl kaum nochmal erreichen.",76,11,0.06308250696739905,0.008992805755395683,54.7,22,0,4,27,60.45,10.2,27
675,675,675,deep_franz,"""aber ""nicht Herr Trump zu sein"" hat doch erheblichen Charme"" Absolute Zustimmung. Problematisch wirds, wenn diese Eigenschaft zu einer Überhöhung führt, deren Erwartungen sich nicht erfüllen, bzw. gar nicht erfüllen können. In gewisser Weise trifft dies z.B. auch auf Herrn Obama zu, der den Friedensnobelpreis bekam, weil er nicht Herr Bush ist oder Herr Macron, der zum Hoffnungsträger Europas stilisiert wird, weil er nicht Frau Le Pen ist. Damit will ich nicht Herr Obamas Verdienste schmälern, die es durchaus gab, bloß Friedensstiftend war er halt nicht und für POC war er doch eher ein Hoffnungsträger, der die in ihn gesetzten Erwartungen eher nicht erfüllt hat.",57,12,0.06401079483390093,0.017721518987341773,197.0,8,0,2,16,1.15,33.11,27
676,676,676,deep_franz,"""Aber als der Artikel wieder mit einem 14-jährigen Kind beginnt, das lächelnd und in perfektem Englisch usw."" Ich stimme Ihnen zu. Nun möchte ich nicht bestreiten, daß es 14-jährige syrische Kinder gibt, die perfekt Englisch sprechen. Bloß fürrchte ich, die Suche nach nach diesen findet in der Realität nicht so schnellen Erfolg, während man diese in der Zeitung wesentlich häufiger findet.Zum Teil mag dies gar nicht daran liegen, daß man besonders herausstellen möchte, daß die syrischen flüchtlinge besonders gebildet seien, sondern vielleicht auch einfach daran, daß man es sich beim Interview mit jemandem der Englisch kann um einiges leichter tut. Ich habe nun einige Flüchtlinge aus Syrien  kennen gelernt, übrigens ausnahmslos höfliche und freundliche Menschen. Ich war beruflich bei einer syrischen Familie, ein Abfluss war in der Unterkunft verstopft.  Von den 5 Personen sprach niemand Englisch, Französisch oder sonst eine Fremdsprache. Mit meinen etwa 10 Worten Arabisch (peinlicherweise ist mir später aufgefallen, es war auch etwas Ivrit dabei), war ich das einzig anwesende ""Sprachgenie"" (nicht wirklich). Wir holen regelmäßig interessierte Menschen aus einem Flüchtlingsheim zu unserem Schachklub ab. Die Englischklenntnisse sind auch bei diesen eher dürftig auch bei dem einen von ca. 5 Personen, die eine akademische Ausbildung haben (er ist Tierarzt). Glücklicherweise ist ein Vereinsmitglied Ägypter und kann immer mal übersetzen.",65,8,0.06635286972365624,0.008988764044943821,48.55555555555557,14,0,5,19,53.9,14.27,27
677,677,677,deep_franz,"""Aber auch bei Splittergruppen die bei den Gruenen unterschlupf fanden wehte ja ein aehnlicher Geist und Paedophelie wurde als akzeptabel angesehen."" Stammte aus dem selben Milieu und auch, im Falle Cohn-Bendits, ebenfalls aus Frankreich. Diesem hat man übrigens seine ""Interpretation"" des Textes aus dem Buch ""Der grosse Basar"", weitestgehend freundlich abgenommen. Ich verlinke den Wiki-Artikel, die strittige Textstelle ist enthalten, ebenso die Rechtfertigung, zitieren möchte ich beides nicht, dies könnte sogar einen Straftat sein: https://de.wikipedia.org/wik… Selbe Zeit, selbes Umfeld und übrigens, französische Zeitungen haben das dort geschriebene nicht als pädophil gewertet, die Parallelen sind reichlich. Als Splittergruppe würde ich Daniel Cohn-Bendit allerdings nicht ansehen.",53,6,0.06057466500897914,0.010498687664041995,75.4,13,0,2,13,55.55,14.38,27
678,678,678,deep_franz,"""Aber auch die Friedensbewegung macht Ferien. Anfang der Achtzigerjahre gingen hierzulande Hunderttausende gegen die Aufstellung neuer Atomraketen auf die Straße. Heute herrscht vollkommene Stille."" Das ist wirklich witzig. Es war gerade der, nennen wir es mal ""gebundene"", Journalismus, der maßgeblich dazu beigetragen hat, die Friedensbewegung zu marginalisieren. Monatelanges Trommelfeuer für ein eingreifen im ehemaligen Yugoslawien und das bejubelte Umfallen der Grünen, die seinerzeit auch aus der Friedensbewegung hervorgegangen ist. Und nun fragt Herr Naß nach der Friedensbewegung. Keine Sorge, es gibt sie noch, weder die Zeit noch sonst eine gebundene Zeitung hat sie klein gekriegt.",104,1,0.07114229539365656,0.008210180623973728,66.77777777777777,24,0,2,32,79.35,8.27,27
679,679,679,deep_franz,"""Aber die Wahrheit ist, die Kurden in Syrien, die einzigen die wir als die Guten empfanden, wurden verkauft."" Natürlich werden die Kurden letztlich der NATO geopfert, aber eigentlich waren es doch diese hier, die angeblich die ""Guten waren"": ""Außerdem sollen laut einem Bericht der Agentur Anadolu von der Türkei unterstützte Rebellen der Freien Syrischen Armee in die Region um die nordsyrische Stadt Afrin eingedrungen sein."" Rebellen der FSA - fehlt da nicht das Adjektiv ""moderat""? >""Während das Regime in Ankara den ISIS-Barbaren Unterschlupf gewährte, haben Kurden für den Westen gekämpft"", schrieb Özdemir auf Twitter.< Sicher, Sicher, die Kurden haben für den ""Westen"" gekämpft, niemals würden die Kurden für sich selbst kämpfen, das käme sowieso niemandem in den Sinn.",98,14,0.06266078390176717,0.010687022900763359,92.71428571428572,31,0,4,32,64.25,14.28,27
680,680,680,deep_franz,"""Aber einige der Insassen sind nun mal keine Straßengangster, die eigentlich vor ein amerikanisches oder internationales Gerichtgehören."" Da stimme ich Ihnen vollumfänglich zu, es ist aber gerade Hauptbestandteil des Problems Guantanamo, daß man Menschen, die man für Verbrecher hält, eben nicht einer zivilen Gerichtsbarkeit zuführt. Der zugrundeliegende ""military commissions act"" wurde seit der Verabschiedung nicht ernsthaft angetastet, auch von Herrn Obama nicht. Guantanamo ist ja eigentlich nur der augenfällige Tatbestand. https://de.wikipedia.org/wik…",69,7,0.06821990203660737,0.011574074074074072,107.25,13,0,7,13,63.4,14.42,27
681,681,681,deep_franz,"""Aber europäische Führungsverantwortung heißt für Deutschland auch, die Außengrenzen Europas notfalls energisch in einer paneuropäischen Einheit zu kontrollieren."" Da sind aber schon einige Hürden unerwähnt. Eine ""paneuropäischen Einheit"", die er schlauerweise nicht näher definiert, existiert ja erstmal gar nicht. Da sich Frau v. d. Leyen ja angesprochen fühlt, scheint es nicht nur bei mir eine militärische Einheit Europas zu implizieren. Nun würden wir mal annehmen, es gäbe eine solches europäisches Militär, dann ist die zweite  Frage, die noch mehr im Hypothetischen wurzelt, ob Herr Tusk allen ernstes meint, daß Deutschland diese Einheit, Armee, was auch immer, robust an den Außengrenzen zu operieren. Wie ""robust"" dürfte denn diese Einheit sein, wenn sie auf dem Hoheitsgebiert z.B. Griechenlands operiert? Wollen den z.B. die Griechen eine robuste militärische Einheit auf ihrem Staatsgebiet? Kommt es darauf in den Gedankengängen Herrn Tusks noch an? Möchte er eigentlich, im Windschatten der Ereignisse, der Gründung eine europäische Armee Vorschub leisten, wie sie schon so lange diskutiert wird? Redet er eigentlich von Frontex und warum sagt er das dann nicht? Darf man das ganze zunächst doch eher als Schaumschlägerei betrachten?",87,12,0.06246197744219228,0.011475409836065572,75.375,27,0,6,24,49.0,13.7,27
682,682,682,deep_franz,"""Aber ihr letzter Satz ist schon absurd. Selbst ihnen sollte doch der Unterschied zwischen z.B. Lee und G.W. in Bezug auf Sklaven bzw. die Befreiung von diesen klar sein."" Herr Lee erbte 63 Sklaven, die er, dem Testament entsprechend, nach fünf Jahren frei ließ und ich möchte nicht verschweigen, daß es einen Bericht gibt, daß er ""seine"" entflohene Sklaven quälen ließ. Herr Washington erbte 10 Sklaven, die Menge seiner Sklaven wuchs bis zu seinem Tode auf ca. 390 an. Beide lehnten, nach eigenem Bekunden, die Sklaverei ab. Ich gebe Ihnen allerdings in soweit Recht, daß die Befreiung der Sklaven, in der Zeit von Herrn Washington, zwar auch schon ein Thema war, aber noch nicht dieselbe Menge an Anhängern hatte. Ob das jetzt den Herrn Washington zum moralisch überlegenen Menschen macht, im Vergleich zu Herrn Lee? Da möchte ich meinen Vergleich doch ein wenig verteidigen. Ich würde mir von keinem der beiden eine Statue in den Garten stellen, aber solltech im besitz einer 1$-Banknote sein, würde diese auch nicht verbrennen.",53,6,0.05728487377909167,0.016129032258064516,92.25,19,0,4,19,36.5,20.41,27
683,683,683,deep_franz,"""Aber immerhin hat der arabischen Frühling gezeigt, dass ein Großteil der bevölkerung eine Demokratie und Beseitigung korrupter Despoten begrüßen würde - das war wohl der Punkt."" Das kann man leider nur zum Teil so anerkennen. In Tunesien mags stimmen. Algerien steht auf der Kippe. Libyen ist ein Fanal westlichen Versagens, man hat einen Herrscher entmachtet und er wurde bestialisch geschlachtet, was mehreren islamistischen Gruppen die Chance einer noch viel schlimmeren Schreckensherrschaft gegeben hat. Ägypten hat demokratisch die Muslimbrüder gewählt, Ergebnis war erneute Militärdiktatur, was womöglich sogar immer noch besser ist. In Syrien waren die säkularen Kräfte wohl doch eher in der Minderheit, auch wenn man Assad nicht gerne mag. Die Türkei (zugegeben nicht arabisch) kommt immer mehr vom Laizismus ab. Demokratie und Islamismus (wohlgemerkt nicht der Islam als solcher) sind nicht vereinbar. Religiöser Eifer, Sektiererei, in allen Ausprägungen sind antidemokratisch. Saudi-Arabien kann bestenfalls auf einen besseren König hoffen, wie seinerzeit Chalid, aber kaum auf Demokratie. Das ist m.E. eine Fata Morgana.",55,4,0.06631205673758865,0.018617021276595744,52.85714285714285,14,0,2,18,66.8,10.43,27
684,684,684,deep_franz,"""Aber ist er auch im Land so umstritten? Fünf Ungarn erzählen."" Ich möchte vorweg klarstellen, daß ich kein Fan von Herrn Orban bin. Den Aufbau dieses Artikels halte ich dennoch für eher bedenklich. Es kommen 5 Menschen aus Ungarn zu Wort und schon bei der Auswahl dieser Menschen werden Klischees repliziert. 4 Menschen aus künstlerischen und akademischen Berufen, die natürlich gegen Orban sind und ein Kampfkunstlehrer, der ein Befürworter Orbans ist. Da muss man weder ""Lügenpresse"" rufen, noch überhaupt eine Lüge unterstellen, was ich auch keineswegs tun werde, um diesen Artikel mit ""Willkommen in Fergus Falls"" zu charakterisieren. Wenn man auf diese Weise für eine gute Sache aktivistisch tätig ist, dann fürchte ich, die Sache ist verloren. Es ist ja nicht so, daß die Fidesz nie gewählt wurde. Ob Trump oder Orban, mit solchen Artikeln streichelt man die Seele der Gleichgesinnten, aber man überzeugt nicht die Unentschlossenen und die Anhänger gleich gar nicht, weil Meinungsänderung so billig nicht zu haben ist.",149,8,0.06845427234386736,0.006578947368421052,82.0,33,0,7,45,64.15,11.97,27
685,685,685,deep_franz,"""Aber neben den Grünen ist die FDP die einzige Partei, die sowas wie eine zukunftsorientierte Politik vertritt."" Gesetzt den Fall, man nimmt das so als real an, warum hat dann die FDP die Koalition mit den Grünen und der Union platzen lassen? So sehr war die FDP der Zukunft vielleicht doch nicht zugewandt und nun sieht sind sie dort, wo sie vorher auch waren - mit Hochglanzfelgen am Rande des 5% hohen Bordsteins.",52,6,0.06908589481768515,0.02359882005899705,112.33333333333331,14,0,4,16,57.7,9.94,27
686,686,686,deep_franz,"""Aber vielleicht sollte man mal den Parteitag abwarten und der Versuchung widerstehen, die Wirklichkeit herbei zu schreiben."" Ich würde das für sehr vernünftig halten, aber offensichtlich sieht der Journalismus sich seit längerem eher in der Rolle des Aktivismus als der des Berichterstatters oder des neutralen Kommentators. Die Zeit ist sehr angetan von Herrn Scholz und deshalb versucht sie dessen ""Werte"" über die neu gewählte Führung zu retten. Daß Menschen, die schon zu Zeiten des Arbeitsministers Scholz ihr Vertrauen in diese Richtung verloren haben, wird nicht aus Versehen ignoriert, sondern ist Programm. Zeitungen haben ein Programm. Wenn die SPD dieses Programm nicht spielt, dann gibts auf die Mütze.",104,15,0.0649852903142377,0.009943181818181818,99.71428571428572,17,0,2,28,59.8,13.27,27
687,687,687,deep_franz,"""Abermals waren Tulsi Gabbard und Andrew Yang die meistgesuchten Kandidaten, obwohl sie bei ein bis zwei Prozent rum dümpeln."" Ohne ihnen zuviel Wasser in den Wein gießen zu wollen, aber möglicherweise gibt es einen viel einfacheren Ansatz zu erklären, warum diese Menschen tatsächlich häufiger gesucht wurden, als die Favoriten: Eben weil beide Kandidaten ziemlich unbekannt sind. Deshalb nutzen Menschen bisweilen Suchmaschinen. Man liest den Namen eines Präsidentschaftskandidaten in spe, kennt ihn nicht, und googelt.  So ging es mir gerade bei Andrew Young, hab ich nicht gekannt und erstmal nachgeschaut, wer das überhaupt ist. Joe Biden oder Bernie Sanders muss ich nicht googeln.",53,11,0.06870868890079837,0.01832460732984293,126.66666666666669,9,0,3,14,45.7,17.69,27
688,688,688,deep_franz,"""Ach, dann lieben sie auch [...]"" Wenn Trolle immer so einfach zu identifizieren wären, wie die, die Ihre Artikel mit ""Ach, dann lieben sie auch [...]"", ""Sie denken also [...]"" und so weiter, gefolgt von irgendeiner Extremposition, die noch nicht mal entfernt irgendetwas mit dem Kommentar zu tun haben, auf den geantwortet wird, es wäre so einfach, diese kleinen Provokateurchen aus dem Forum zu nehmen.",78,13,0.06434134559497824,0.014362657091561941,78.71428571428571,15,0,4,32,56.05,16.03,27
689,689,689,deep_franz,"""Ach, ja! Und, Kant... Man kann sich probeweise mit der Ansicht vertraut machen, dass der gute Mann sich einfach nur geirrt hat."" Ich würde es eher so sehen, daß er in der Art eines Naturwissenschaftlers idealisiert hat und alle ""Nebenbedingungen"" nicht mit einbezogen hat. Im Grunde wir ein Mensch, der richtig gut Geometrie beherrscht und dann gegen einen versoffenen Billardspieler in der Kneipe verliert, obwohl das mit den Winkeln ja so einfach ist :o)",58,6,0.06898661879895561,0.018229166666666668,54.0,17,0,4,18,65.0,12.85,27
690,690,690,deep_franz,"""Ähnlich war es beim Ausbruch des 1. WK in Deutschland, die jungen Männer sehnten sich nach dem ehrenvollen Krieg, man wollte richtige Männer sein - Helden."" Das ist sehr richtig, war allerdings damals letztlich ein eher weltweit verbreitetes Betragen. Da wurde überall gejubelt, naja so die ersten Wochen, interessanterweise ausgerechnet in den USA eher nicht. Die Einstellung war damals auch generell komplett anders. Heute beklagen wir fast jeden Toten (auf der eigenen Seite, nicht daß es jetzt noch ""christlich"" wird). Damals dachte man eher, 1-2 Wochen und einige 100000 Tote später ist die Sache erledigt. Solange nicht so viele Offiziere sterben, sind die Leute entbehrlich, das war damals eher die ""normale"" Ansicht.",200,35,0.06748839385662896,0.00411522633744856,71.95,53,0,14,60,42.95,15.73,27
691,691,691,deep_franz,"""Alle Augen sind auf Syrien gerichtet. Was in Libyen passiert, erfährt man in unseren dt. Mainstream-Medien quasi nie."" M. E. ist der Grund, daß man in Libyen das Ergebnis sieht, welches für Syrien recht wahrscheinlich ist. Ein unliebsamer Herrscher wird eliminiert, wofür es gute Gründe geben mag; hernach zerreißen die unterschiedlichen Kräfte den übriggebliebenen Kadaver des vormals einigermaßen funktionierenden Staates.",64,5,0.06524427952999381,0.015873015873015872,87.4,8,0,2,20,56.05,12.0,27
692,692,692,deep_franz,"""Alle Flüchtlinge müssen sich in den Einreisezentren registrieren lassen. Wer sich nicht an diese Regel hält, dem drohen Nachteile im Verfahren und Leistungskürzungen."" Genau so faselte auch gestern Herr Gabriel. Welches Verfahren gibt es denn ohne Registrierung? Wir lassen in Deutschland (hoffentlich) Niemanden verhungern oder erfrieren, der Hilfe sucht, aber alles Weitere, auch ein dauerhafter Aufenthalt, kann nicht ohne Feststellung und Registrierung der Personalien erfolgen.",117,10,0.0695908501355972,0.009079118028534372,127.66666666666669,21,1,5,33,55.2,14.98,27
693,693,693,deep_franz,"""Alle Geflüchteten aus Moria müssten jetzt zügig von der Insel Lesbos gebracht und in europäische Länder verteilt werden."" Wenn ich es richtig verstanden habe, will schon Griechenland das nicht und niemand hat ""hier"" gerufen bei ""verteilt werden"", außer Kommunen in Deutschland. Es gibt also Nichts zum verteilen und da Kommunen nun mal nicht über Einwanderung entscheiden, gibt es auch keinen Orte, wohin die nicht zur Verfügung stehenden Migranten verteilt werden. ""Deutschland allein könne das Migrationsproblem in Europa nicht lösen."" Gibt es in Europa ein Migrationsproblem?",94,9,0.06759614944894134,0.006756756756756757,83.71428571428571,19,0,4,24,73.0,11.32,27
694,694,694,deep_franz,"""Allein die Besatzung der Fregatte, die den französischen Flugzeugträger Charles de Gaulle im Mittelmeer schützen soll, wird nach Einschätzung von Experten aus mehr als 200 Soldaten bestehen."" Vor welcher konreten Bedrohung soll eigentlich ein im Mittemeer schwimmender Flugzeugträger geschützt werden, wenn man gegen den IS kämpft? Ist der IS inzwischen gar im  Besitz von Kampfflugzeugen oder einer Marine, die dem Flugzeugträger gefährlich werden könnten? Ist es vielleicht doch so, daß ""der Syrienkrieg"", der ja eigentlich aus mehreren Kriegen besteht (deshalb die Anführungszeichen), in diesem Falle einer anderen Kriegspartei gilt, die über das Potential verfügt einen Flugzeugträger anzugreifen? Hat das eigentlich mal jemand den Generalinspekteur Volker Wieker oder einen verantwortlichen Politiker gefragt?",88,18,0.05966579657764985,0.010447761194029851,166.75,34,0,7,31,29.5,19.29,27
695,695,695,deep_franz,"""Alleiniger Auftrag der Truppe bleibe jedoch weiter die Beratung und Ausbildung der afghanischen Sicherheitskräfte, eine Rückkehr zum Kampfeinsatz solle es nicht geben. Allerdings sollten die deutschen Soldaten die afghanischen Einheiten künftig auch unmittelbar im Einsatz beraten können."" Da braucht man sich nun wirklich Nichts vorzumachen, das ist de facto ein Kampfeinsatz. Während eines Gefechts werden wohl kaum deutsche Soldaten neben afghanischen Soldaten stehen um zu beraten wo man hinschießen soll. Aber ob 850 oder 980 BW-Angehörige, Aghanistan ist fast doppelt so groß wie Deutschland, auch die 10-fache Anzahl würde nicht wirklich viel bewirken. Zu ""besten"" zeiten hatte man dort 80-100 000 Soldaten und die Afghanische Armee hat aktuell ca 200 000 Mann. Dennoch ist Afghanistan einfach Afghanistan, niemand hat dort ernsthaft militärischen Erfolg gehabt seit Alexander dem Großen.",92,16,0.06870694470303483,0.018292682926829267,81.125,21,0,3,26,51.5,14.6,27
696,696,696,deep_franz,"""Allen die über sichere Drittstaaten kommen das Asylrecht explizit ab! Laut eines WELT-Artikels gestern waren es letztes Jahr nur ca. 1600 Migranten (!) von knapp einer Million die nicht über sichere Staaten eingereist sind. "" Das ist ja alles schön und gut, verlagert aber die Probleme nur in genau diese Drittstaaten. Nach diesem St. Floriansprinzip müsste man nun 1 Million Menschen (+-200000) nach Griechnland abschieben, bzw. sie hätten gleich dort bleiben müssen. Nicht daß ich eine Lösung wüsste, aber das scheint mir keine Lösung zu sein.",51,4,0.061840908651148385,0.021739130434782608,63.6,11,0,2,16,76.2,8.79,27
697,697,697,deep_franz,"""Als besonderen Gast begrüßte Lindner den früheren SPD-Sozialminister Florian Gerster aus Rheinland-Pfalz."" Uch fnde es schön, wenn Lindner den richtigen Leuten bei der SPD Schmerzen zufügt. Olaf? Bullrichsalz gefällig? Oder ne schöne FDP-Mitgliedschaft? Vielleicht gibts einen Seeheimer Freundschaftszugang? Ich wünschte er würde es lesen - fast so sehr wie ich ihn als Begleiter zur Leiharbeit mitgenommen hätte, damals, als er noch Arbeitsminister war. Olaf geh zur FDP, zu deinen Freunden und mit deinen Freunden.",85,9,0.06606851046773346,0.014035087719298246,56.1,20,0,4,26,65.3,10.82,27
698,698,698,deep_franz,"""Als bisher einziges EU-Land hat Großbritannien öffentlich den Iran für die mutmaßlichen Angriffe auf zwei Öltanker im Golf von Oman verantwortlich gemacht."" Nun gut, einziges EU-Land ist formal richtig, in der Sache war GB bereits vor der Brexit-Entscheidung eher ein Verbündeter der USA, wenn es um Krieg geht und auch die Lieferung von ""Beweisen"" dazu geht. Richtig interessant empfinde ich, daß ein Botschafter sich offensichtlich eher nicht an diplomatische Gepflogenheiten hält und Stellungnahmen per Twitter verteilt, als sei er US-Botschafter in Deutschland. Trump macht Schule! - Wir sollten schnell lernen!",54,7,0.06954816017316015,0.007792207792207792,95.5,13,1,6,13,50.85,16.09,27
699,699,699,deep_franz,"""Als Hauptgründe für die Branchenkrise gelten lange Genehmigungsverfahren, zu wenig ausgewiesene Flächen und viele Klagen von Bürgerinitiativen. "" Die endlosen Genehmigungsverfahren, bei der jede Milchkanne ein Klagerecht hat, sind allerdings zu Zeiten auch auf betreiben der Grünen entstanden. Bloß hat man wohl nicht gedacht, daß man mit Verfahren, die man sich zur Verhinderung von Straßen u. ä. missliebigen Dingen ausgedacht hat, nun eben auch Windräder und Stromtrassen verhindern kann. Wenn der Bund da was ändern will, soll er eigene Flächen hernehmen, nen großen Zaun drum bauen und loslegen.",89,18,0.06804980743161353,0.00748502994011976,82.625,16,0,3,23,38.6,17.66,27
700,700,700,diespdisttot," Hm... es ist ja lobenswert, dass jetzt zumindest bestimmte Bevölkerungsgruppen FFP2-Masken bekommen sollen. Ich muss aber daraus schließen, dass die Stoffmasken nicht sicher genug sind. Wäre es nicht besser, sozial Schwache mit kostenlosen FFP2-Masken auszurüsten? Im Prinzip kann jeder einen schweren Verlauf erleiden. Ich habe zumindest nicht das Geld, da pro Maske 10 - 20 Euro zu lassen. Wohlhabende Risiko-Patienten vielleicht schon. ",63,5,0.06543560606060603,0.020779220779220783,76.2,16,0,3,24,70.25,11.22,28
701,701,701,diespdisttot," Jetzt habe ich doch echt gelesen, dass über ein Böllerverbot an Silvester nachgedacht wird. Und die Begründung ist nicht, dass es schlecht für die Umwelt ist, sondern, dass man damit Neuinfektionen verhindern will. Also, veralbern kann ich mich auch alleine. Man kann natürlich darüber diskutieren, ob man das Knallen der Umwelt wegen sein lässt. Aber jetzt Corona zu instrumentalisieren bei einer Tätigkeit, die man gut alleine und an der frischen Luft ausführen kann... nee. Man sollte sich lieber darum kümmern, dass sich alle an die Abstands- und Hygieneregeln halten usw. Jetzt neben allem, was schon verboten ist, auch noch Silvester zu verbieten, muss echt nicht sein. Und wenn ich dann als Argument lese, dass man Silvester ruhig verbieten sollte, weil eh schon alles verboten ist. Und wenn man da mit dem Kopf schüttelt, ist man Querdenker, ist klar. Man muss doch mal ehrlich sagen: Wenn einzelne Politiker Corona missbrauchen um die eigenen Interessen durchzusetzen - sei es jetzt das Böller-Verbot oder das Nutzen von Kontaktdaten im Restaurant durch die Polizei - dann läuft was schief. ",87,18,0.06445487357816665,0.004601226993865031,92.28571428571428,23,0,4,24,42.85,17.35,28
702,702,702,diespdisttot," Sie nehmen jetzt Schulen und Kindergärten zum Vergleich. Warum nicht Baumärkte? Auch da geht man zusammen rein, lässt sich ggf. von Mitarbeitern beraten und geht danach noch was essen. Wo ist das jetzt bitte anders als ein Museumsbesuch? Rentner können doch bitte selbst entscheiden, ob sie ins Museum gehen wollen oder nicht. Ich bin übrigens jung und gehe gerne ins Museum. ",102,12,0.06490943205600057,0.012080536912751677,66.81818181818181,27,1,4,42,45.85,13.93,28
703,703,703,diespdisttot,"""Das gemeinsame Schicksal des Chefarztes, der Lehrerin und der Sonderpädagogin: Ihr Arbeitgeber war nicht etwa ein privates Unternehmen oder ein staatliches Krankenhaus, sondern die Kirche. Eine konfessionslose Sonderpädagogin, ein geschiedener Chefarzt und ein schwuler Lehrer verstoßen zwar nicht gegen deutsches Recht, wohl aber gegen die Moralvorstellungen der Kirche."" Was denn nun? War DIE Lehrerin lesbisch oder DER Lehrer schwul? Bitte um Klarstellung. Danke.",117,19,0.06428908127922332,0.009673518742442565,102.5,33,0,7,43,43.5,18.06,28
704,704,704,diespdisttot,"""die jungen halten Abstand, die mittel alten und alten machen weiter wie gehabt."" Kann ich auch so bestätigen. Während ich, muss ich schon Bahn fahren, zu allen anderen Fahrgästen mindestens einen Platz Abstand halte, setzen sich einige der älteren Leute sehr gerne neben mich und gucken dann noch böse, wenn zwischen uns mein Rucksack steht und sie nicht kuscheln kommen können. Auch beim Spazieren-gehen sind es vor allem die älteren Leute, die sich eng an mir vorbeidrängen wollen. Ich glaube, gerade vielen Älteren ist nicht klar, dass das hier nicht ""die Grippe"" ist und auch nichts, was sich irgendwer ausgedacht hat - es wird nicht übertrieben. Die Oma einer Freundin meinte auch, wenn sie jetzt dran ist mit sterben, dann ist es eben so. Das ist natürlich auch eine Form, damit umzugehen, aber es gibt ja trotzdem noch andere alte und schwache Menschen, für die zu sterben keine Option ist.",62,13,0.06320032503635274,0.016166281755196306,85.8,10,0,2,20,50.6,12.7,28
705,705,705,diespdisttot,"""Doch die Fernseh-Debatte zeigt, wie wichtig heute Forscher sind, die den medialen Auftritt beherrschen."" Tja... das Problem dabei ist nur, dass oft besonders kluge, introvertierte Menschen in die Forschung gehen. Und die sollen jetzt Medien-Kompetenz lernen, anstatt sich ihrer wichtigen Forschung zu widmen? Und wofür? Damit der gemeine Bild-Leser sich ohne Aufwand die richtige Meinung bilden kann? Na, herzlichen Dank. Wer sich empört, ohne zu denken, hat keine Aufklärung verdient. Zumindest keine prompte und medienwirksame. Jeder mit ein bisschen Vernunft wird sich bei den Schlagzeilen der letzten Tage doch erstmal gefragt haben, wer diese ominösen Ärzte sind, die plötzlich befinden, dass Luftverschmutzung gar nicht so schlimm ist wie gedacht, und wie diese Ärzte darauf kommen. Das nennt man Medien-Kompetenz und lernt jeder in der Schule. Quellen prüfen. Nicht jedem sofort glauben, nur weil er Arzt/Anwalt/Politiker ist. Da muss man ansetzen und nicht klugen Köpfen das Leben schwer machen. ""Zu lernen ist, dass nicht die bessere Sache den Sieg erficht, sondern die besser verfochtene Sache."" Schlimm genug. Das sollte sich ändern.",114,9,0.06657026817743643,0.012640449438202249,88.125,19,0,5,36,72.1,10.98,28
706,706,706,diespdisttot,"""Er hat auch schon andere Eindrücke hinterlassen, als er zB mal einen kleinen Angestellten am Filmset komplett zusmmengebrüllt hat, weil ihm was nicht passte."" Ich glaube, das ist das, was er meinte, mit: ""Ich bin auch nur ein durchschnittlicher Mensch."" Er ist ein Meister seines Fachs, aber kein gottgleiches Wesen ohne Fehler. Wer hat nicht schon mal die Fassung verloren? Aber bei uns ist niemand dabei, der es filmt oder darüber berichtet. Christian Bale zählt fest zu meinen Lieblingsschauspielern und die Ansichten, die er in diesem Interview vorgebracht hat, kann ich definitiv teilen. Eine kluger, reflektierter Mann. Und das merkt man unter anderem daran, dass er sich nicht dafür hält.",59,12,0.06859228828982238,0.018433179723502304,86.0,17,0,2,23,57.05,11.5,28
